Name,Image,,Body Text,3P+,Version,Artist,Notes
,,,,,,Card back art by @KrystalFlamingo,"Character cards have unique HP and AT stats for staying alive and defeating monsters.  They can be activated to perform the listed effect.  ""Starting Item:"" ability text dictates which Starting Item that player chooses at the start of the game."
,,,Set Name,Cards,Unique,,
,,,Base Game,11,11,,
,,,Gold Box,4,4,,
,,,Four Souls+,4,4,,
,,,Star Promos,5,0,,
,,,Tapeworm,1,1,,
,,,The Unboxing of Isaac,3,0,,
,,,Retro,1,0,,
,,,Requiem,22,20,,
,,,Warp Zone,20,20,,
,,,Alt Art,14,0,,
,,,The Legend of Bum-bo,1,0,,
,,,The Summer of Isaac,5,3,,
,,,Youtooz,1,0,,
,,,Anniversary,3,3,,
,,,Nendoroid,1,1,,
,,,Mewgenics,1,1,,
,,,TOTAL,97,68,,
,,,,,,,
,Base Game,,,,,,
Isaac,,,"
HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The D6",FALSE,Original,@rojen241,
Maggy,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Yum Heart",FALSE,Original,@rojen241,
Cain,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
If you control this as the
game starts, you go first.
------------------------------
Starting item:
Sleight of Hand",FALSE,Original,@rojen241,
Judas,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Book of Belial",FALSE,Original,@rojen241,
Blue Baby,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Forever Alone",FALSE,Original,@rojen241,Unlocked via The Blue Womb stretch goal in the original Kickstarter.
Eve,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The Curse",FALSE,Original,@rojen241,Unlocked via The Caves stretch goal in the original Kickstarter.
Samson,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Blood Lust",FALSE,Original,@rojen241,Unlocked via The Basement stretch goal in the original Kickstarter.
Lazarus,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Lazarus' Rags",FALSE,Original,@rojen241,Unlocked via the I Am Error? stretch goal in the original Kickstarter.
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",FALSE,Original,@rojen241,"Unlocked via The Chest stretch goal in the original Kickstarter.
"
Lilith,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Incubus",FALSE,Original,@rojen241,"Unlocked via The Womb stretch goal in the original Kickstarter.
"
The Forgotten,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The Bone",FALSE,Original,@rojen241,"Unlocked via reaching $2,000,000 in the original Kickstarter.
"
,Gold Box,,,,,,
Azazel,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Lord of the Pit",FALSE,Original,@rojen241,
The Lost,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:
Holy Mantle
(+1 soul)",FALSE,Original,@rojen241,
The Keeper,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Wooden Nickel",FALSE,Original,@rojen241,
Apollyon,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Void",FALSE,Original,@rojen241,
,Four Souls+,,,,,,
Dark Judas,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Dark Arts",FALSE,Original,@rojen241,
Whore of Babylon,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Gimpy",FALSE,Original,@rojen241,
Guppy,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Infestation",FALSE,Original,@rojen241,
Bum-bo,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Bag-o-Trash",FALSE,Original,@rojen241,
,Star Promos,,,,,,
